episode,step,temp_celsius,power_watts,coolant_flow_l_min,pue,hour_of_day,thermal_spike
1,0,29.71,365.02,57.86,1.6045,0.0,0
1,10,29.75,735.31,46.96,1.578,0.0,0
1,20,29.58,331.18,80.43,1.6103,0.0,0
1,30,31.34,589.93,83.6,1.6102,0.0,0
1,40,30.52,685.66,40.52,1.6342,0.01,0
1,50,31.1,404.15,52.44,1.5789,0.01,0
1,60,31.79,255.65,47.74,1.6031,0.01,0
1,70,31.62,684.28,98.38,1.5857,0.01,0
1,80,24.82,427.12,84.16,1.5958,0.01,0
1,90,31.4,717.02,86.19,1.5836,0.01,0
1,100,29.91,336.74,63.15,1.6021,0.01,0
1,110,31.36,260.6,62.24,1.6149,0.02,0
1,120,28.84,422.11,56.76,1.5936,0.02,0
1,130,29.6,588.82,88.73,1.6547,0.02,0
1,140,31.65,298.04,70.36,1.6364,0.02,0
1,150,32.97,534.17,94.77,1.6061,0.02,0
1,160,32.03,337.43,42.57,1.5791,0.02,0
1,170,29.5,326.59,115.43,1.6224,0.02,0
1,180,31.38,593.26,71.65,1.5958,0.03,0
1,190,32.06,358.93,59.73,1.5966,0.03,0
1,200,28.71,550.75,111.83,1.6021,0.03,0
1,210,29.03,798.52,80.76,1.6163,0.03,0
1,220,30.7,265.79,90.2,1.6113,0.03,0
1,230,30.73,238.12,70.53,1.5877,0.03,0
1,240,32.65,782.65,108.86,1.6074,0.03,0
1,250,33.39,609.03,82.96,1.6103,0.03,0
1,260,29.91,266.93,74.78,1.6364,0.04,0
1,270,25.46,725.51,61.07,1.6222,0.04,0
1,280,28.97,747.58,109.64,1.6079,0.04,0
1,290,29.38,565.38,52.23,1.6352,0.04,0
1,300,30.43,667.18,82.43,1.5831,0.04,0
1,310,32.02,211.69,114.33,1.608,0.04,0
1,320,32.99,384.51,44.63,1.5819,0.04,0
1,330,33.75,251.39,78.88,1.5743,0.05,0
1,340,33.34,659.5,50.27,1.6222,0.05,0
1,350,27.78,359.03,109.79,1.6119,0.05,0
1,360,29.06,523.58,98.39,1.6144,0.05,0
1,370,30.82,797.09,91.99,1.6244,0.05,0
1,380,28.07,272.6,57.98,1.6171,0.05,0
1,390,28.91,338.07,57.62,1.6306,0.05,0
1,400,32.87,337.37,112.43,1.6201,0.06,0
1,410,30.81,342.8,93.52,1.602,0.06,0
1,420,30.57,761.31,85.68,1.6183,0.06,0
1,430,26.89,684.5,55.23,1.6139,0.06,0
1,440,32.09,454.15,77.36,1.6201,0.06,0
1,450,29.97,790.5,47.87,1.5783,0.06,0
1,460,28.88,717.0,59.89,1.6184,0.06,0
1,470,31.17,453.13,62.28,1.6283,0.07,0
1,480,30.39,465.88,108.91,1.6533,0.07,0
1,490,29.78,799.57,106.88,1.6059,0.07,0
2,0,34.48,709.22,53.3,1.5971,0.0,0
2,10,28.63,440.62,44.69,1.6071,0.0,0
2,20,25.82,359.12,102.73,1.6459,0.0,0
2,30,28.03,774.39,119.63,1.6118,0.0,0
2,40,27.07,292.88,63.74,1.595,0.01,0
2,50,32.66,525.32,99.84,1.6008,0.01,0
2,60,32.58,501.71,108.22,1.6152,0.01,0
2,70,32.91,248.07,54.87,1.6484,0.01,0
2,80,27.65,341.12,49.59,1.589,0.01,0
2,90,31.3,556.71,89.55,1.5963,0.01,0
2,100,27.85,513.67,114.78,1.6188,0.01,0
2,110,31.08,343.21,71.66,1.6363,0.02,0
2,120,29.39,389.71,100.15,1.591,0.02,0
2,130,32.2,799.07,119.69,1.6156,0.02,0
2,140,31.46,359.12,114.66,1.6121,0.02,0
2,150,33.25,421.72,52.62,1.5779,0.02,0
2,160,31.82,567.01,118.98,1.5789,0.02,0
2,170,30.13,690.26,63.95,1.6038,0.02,0
